C:\Users\Administrator\Desktop\bin>AntiHook.exe Disassemble X64 fffff804716329a0 0x172
FFFFF804716329A0  4053                push rbx
FFFFF804716329A2  56                  push rsi
FFFFF804716329A3  57                  push rdi
FFFFF804716329A4  4883ec30            sub rsp, 0x30
FFFFF804716329A8  8bf2                mov esi, edx
FFFFF804716329AA  488bf9              mov rdi, rcx
FFFFF804716329AD  0f0d89b8040000      prefetchw byte ptr ds:[rcx+0x4B8]
FFFFF804716329B4  4c8b81b8040000      mov r8, qword ptr ds:[rcx+0x4B8]
FFFFF804716329BB  41f6c00f            test r8b, 0x0F
FFFFF804716329BF  7416                jz 0xFFFFF804716329D7
FFFFF804716329C1  498d50ff            lea rdx, qword ptr ds:[r8-0x01]
FFFFF804716329C5  498bc0              mov rax, r8
FFFFF804716329C8  f0480fb191b8040000  lock cmpxchg qword ptr ds:[rcx+0x4B8], rdx
FFFFF804716329D1  0f85a7000000        jnz 0xFFFFF80471632A7E
FFFFF804716329D7  498bd8              mov rbx, r8
FFFFF804716329DA  4183e00f            and r8d, 0x0F
FFFFF804716329DE  4883e3f0            and rbx, 0xFFFFFFFFFFFFFFF0
FFFFF804716329E2  4183f801            cmp r8d, 0x01
FFFFF804716329E6  7622                jbe 0xFFFFF80471632A0A
FFFFF804716329E8  833d29a6ae0000      cmp dword ptr ds:[0xFFFFF8047211D018], 0x00
FFFFF804716329EF  0f8592db2400        jnz 0xFFFFF80471880587
FFFFF804716329F5  4885db              test rbx, rbx
FFFFF804716329F8  0f8490000000        jz 0xFFFFF80471632A8E
FFFFF804716329FE  488bc3              mov rax, rbx
FFFFF80471632A01  4883c430            add rsp, 0x30
FFFFF80471632A05  5f                  pop rdi
FFFFF80471632A06  5e                  pop rsi
FFFFF80471632A07  5b                  pop rbx
FFFFF80471632A08  c3                  ret
FFFFF80471632A09  cc                  int3
FFFFF80471632A0A  4585c0              test r8d, r8d
FFFFF80471632A0D  747f                jz 0xFFFFF80471632A8E
FFFFF80471632A0F  b80f000000          mov eax, 0x0F
FFFFF80471632A14  f0480fc143d0        lock xadd qword ptr ds:[rbx-0x30], rax
FFFFF80471632A1A  4885c0              test rax, rax
FFFFF80471632A1D  0f8e47db2400        jle 0xFFFFF8047188056A
FFFFF80471632A23  0f0d89b8040000      prefetchw byte ptr ds:[rcx+0x4B8]
FFFFF80471632A2A  488b81b8040000      mov rax, qword ptr ds:[rcx+0x4B8]
FFFFF80471632A31  488bc8              mov rcx, rax
FFFFF80471632A34  83e10f              and ecx, 0x0F
FFFFF80471632A37  4883c10f            add rcx, 0x0F
FFFFF80471632A3B  4883f90f            cmp rcx, 0x0F
FFFFF80471632A3F  772b                jnbe 0xFFFFF80471632A6C
FFFFF80471632A41  488bc8              mov rcx, rax
FFFFF80471632A44  4883e1f0            and rcx, 0xFFFFFFFFFFFFFFF0
FFFFF80471632A48  483bd9              cmp rbx, rcx
FFFFF80471632A4B  751f                jnz 0xFFFFF80471632A6C
FFFFF80471632A4D  488d480f            lea rcx, qword ptr ds:[rax+0x0F]
FFFFF80471632A51  f0480fb18fb8040000  lock cmpxchg qword ptr ds:[rdi+0x4B8], rcx
